store_nbr,city,type,active_days,avg_transactions,avg_daily_sales,basket_units
1,Quito,D,1676,1523.8442720763724,8431.39404394636,5.532976169840401
2,Quito,D,1677,1920.0363744782348,12829.731727825998,6.682025350333504
3,Quito,D,1676,3201.879474940334,30030.147077614558,9.378912389628331
4,Quito,D,1676,1502.9874701670644,11249.674217184367,7.484875583117077
5,Santo Domingo,D,1677,1400.0459153249851,9282.598191039477,6.6302098305717045
6,Quito,D,1676,1829.293556085919,14979.733736905731,8.188808016662668
7,Quito,D,1675,1788.6525373134327,16034.46056294985,8.964547461539796
8,Quito,D,1676,2767.285799522673,18143.188035844276,6.556311617316064
9,Quito,B,1676,2097.9486873508354,15708.200792854119,7.487409433587958
10,Quito,C,1675,986.5629850746269,5720.625804707463,5.798540885126291
11,Cayambe,B,1676,2370.219570405728,16850.64896861336,7.109319819567986
12,Latacunga,C,1616,1212.1608910891089,6577.5141771349,5.426271566330687
13,Latacunga,C,1676,938.2482100238664,6259.989743401553,6.67199753383203
14,Riobamba,C,1638,1396.7338217338217,6934.333799277168,4.964678087818695
15,Ibarra,C,1676,1318.554892601432,6813.841343468377,5.167658458287668
16,Santo Domingo,C,1677,873.2844364937388,6540.526989713298,7.489572373433901
17,Quito,C,1674,1371.2574671445639,10739.139366278972,7.831599552665777
18,Quito,B,1566,1322.655172413793,8442.0837560053,6.3826792742955325
19,Guaranda,C,1676,1257.4516706443915,7761.303563683173,6.172248003540231
20,Quito,B,909,1564.949394939494,14165.026431047414,9.051427782171244
21,Santo Domingo,B,748,1126.859625668449,12326.278208834226,10.938610212006063
22,Puyo,C,671,751.3502235469449,6074.162643517138,8.084329322273264
23,Ambato,D,1677,1066.2915921288015,6936.728586123256,6.505470583589991
24,Guayaquil,D,1577,2262.6544071020926,15061.554199564998,6.656586243258938
25,Salinas,D,1615,941.4006191950465,7051.1073854950455,7.490017790220025
26,Guayaquil,D,1678,634.7193087008343,4617.08117989559,7.274209428646489
27,Daule,D,1677,1482.222420989863,11419.404080235063,7.704244598195268
28,Guayaquil,E,1677,1167.3190220632082,10940.69397789559,9.372496953367706
29,Guayaquil,E,874,1122.938215102975,11096.359956617847,9.881540949784398
30,Guayaquil,C,1655,707.6314199395771,4456.990531699697,6.298463304639962
31,Babahoyo,B,1678,1374.2812872467223,10564.146439515496,7.687033606256864
32,Guayaquil,C,1677,635.1973762671437,3544.7729510134177,5.580585001539112
33,Quevedo,C,1678,1038.738379022646,8441.587313140048,8.126769438405441
34,Guayaquil,B,1678,2302.752085816448,10175.317714630512,4.418763868374836
35,Playas,C,1676,670.5781622911694,4570.294148973507,6.8154532998183965
36,Libertad,E,1551,1120.6505480335268,9859.388819201804,8.79791549337362
37,Cuenca,D,1678,1478.9743742550656,11892.254241045532,8.04087917144302
38,Loja,D,1678,1708.6126340882001,11228.38007182932,6.571635868665654
39,Cuenca,B,1678,1424.0059594755662,12056.673903775923,8.466729948388814
40,Machala,C,1677,1300.6529516994633,10950.438493123436,8.419185516640193
41,Machala,D,1677,1051.9654144305307,8921.823571606681,8.481099710332593
42,Cuenca,D,720,1114.786111111111,12377.901307170414,11.103386724860895
43,Esmeraldas,E,1672,1305.2368421052631,9780.981951497968,7.493645318593576
44,Quito,A,1677,4336.966607036375,36947.4373405003,8.51918879904588
45,Quito,A,1677,3697.7429934406678,32423.00977738461,8.768324308882192
46,Quito,A,1677,3571.921884317233,24929.494099364467,6.979294314587089
47,Quito,A,1677,3897.3225998807393,30314.77770483661,7.778359868327109
48,Quito,A,1677,3045.7871198568873,21377.89862371407,7.018842020948121
49,Quito,A,1677,2727.550983899821,25831.507842425763,9.470586615943718
50,Ambato,A,1677,2614.4567680381633,17052.66973743906,6.522452367890958
51,Guayaquil,A,1677,1713.5444245676804,19589.570596680973,11.432193012225717
52,Manta,A,118,2333.8389830508477,22848.89604448305,9.7902624004568
53,Manta,D,1167,1011.2099400171379,9592.836580705314,9.486493556958841
54,El Carmen,C,1676,865.9248210023866,6583.543696245167,7.602904474575653
